Subject,Cond,Int,State,Prob
3,I,M,I,0.13323686553873554
3,I,L,A,0.079098241181615
3,I,L,B,0.08706636867165485
3,I,L,C,0.11203964629287727
3,I,L,D,0.13098824215333787
3,I,L,E,0.14274608881546982
3,I,L,F,0.10183655621416772
3,I,L,G,0.09464580701583908
3,I,L,H,0.11534350403264988
3,I,L,I,0.1362355456223885
4,R,R,A,0.11432341298929775
4,R,R,B,0.10649464887846356
4,R,R,C,0.13352880809265505
4,R,R,D,0.11241753408591115
4,R,R,E,0.10347456384694326
4,R,R,F,0.12452719542589064
4,R,R,G,0.12215217710013195
4,R,R,H,0.08467966573816156
4,R,R,I,0.09840199384254508
4,C,H,A,0.07701863354037267
4,C,H,B,0.13719806763285025
4,C,H,C,0.15638371290545203
4,C,H,D,0.1282263630089717
4,C,H,E,0.1028295376121463
4,C,H,F,0.06238785369220152
4,C,H,G,0.1769496204278813
4,C,H,H,0.0484472049689441
4,C,H,I,0.11055900621118013
4,C,M,A,0.09316856428769786
4,C,M,B,0.13093585115245765
4,C,M,C,0.18453207442377118
4,C,M,D,0.08108858650374896
4,C,M,E,0.12677034157178563
4,C,M,F,0.07747847820049986
4,C,M,G,0.1327409053040822
4,C,M,H,0.06650930297139683
4,C,M,I,0.10677589558455984
4,C,L,A,0.09289129406819734
4,C,L,B,0.1565176272789366
4,C,L,C,0.17044081332422634
4,C,L,D,0.09924867335680135
4,C,L,E,0.10460778647612043
4,C,L,F,0.0750801239951663
4,C,L,G,0.1447485945463143
4,C,L,H,0.05422161508958125
4,C,L,I,0.10224347186465613
4,I,H,A,0.07881420446912364
4,I,H,B,0.1147731852581613
4,I,H,C,0.15924051766602482
4,I,H,D,0.11763915632976579
4,I,H,E,0.1550311226546057
4,I,H,F,0.06049885808965116
4,I,H,G,0.13523800994133717
4,I,H,H,0.07223142716403207
4,I,H,I,0.10653351842729837
4,I,M,A,0.08116419549697969
4,I,M,B,0.10389895661724327
4,I,M,C,0.1755079626578803
4,I,M,D,0.0900604063701263
4,I,M,E,0.1683690280065898
4,I,M,F,0.06128500823723229
4,I,M,G,0.11422295442064799
4,I,M,H,0.07633168588687535
4,I,M,I,0.12915980230642504
4,I,L,A,0.08086946359705505
4,I,L,B,0.11698025008764754
4,I,L,C,0.15589575785906276
4,I,L,D,0.11651279654084376
4,I,L,E,0.15846675236648358
4,I,L,F,0.05773051303026762
4,I,L,G,0.1100853102722917
4,I,L,H,0.07339020684819446
4,I,L,I,0.13006894939815355
5,R,R,A,0.08023293432546101
5,R,R,B,0.09341637010676157
5,R,R,C,0.13126819799417663
5,R,R,D,0.11501132319637658
5,R,R,E,0.14380459398252993
5,R,R,F,0.09940148819152378
5,R,R,G,0.12134692116898523
5,R,R,H,0.10657284589668932
5,R,R,I,0.10894532513749595
5,C,H,A,0.05693009848666827
5,C,H,B,0.07950996877251981
5,C,H,C,0.11530146528945472
5,C,H,D,0.1342781647850108
5,C,H,E,0.14124429497958202
5,C,H,F,0.1258707662743214
5,C,H,G,0.10521258707662744
5,C,H,H,0.1411241892865722
5,C,H,I,0.10052846504924333
5,C,M,A,0.06971153846153846
5,C,M,B,0.07223557692307692
5,C,M,C,0.12103365384615385
5,C,M,D,0.11081730769230769
5,C,M,E,0.17403846153846153
5,C,M,F,0.0954326923076923
5,C,M,G,0.09423076923076923
5,C,M,H,0.14939903846153846
5,C,M,I,0.11310096153846154
5,C,L,A,0.06570755510684839
5,C,L,B,0.08202927814235235
5,C,L,C,0.09692074709742554
5,C,L,D,0.13532727578663975
5,C,L,E,0.14790509843513377
5,C,L,F,0.11366313309776208
5,C,L,G,0.114630657916877
5,C,L,H,0.143698468786808
5,C,L,I,0.10011778563015312
5,I,H,A,0.06074617346938776
5,I,H,B,0.0778061224489796
5,I,H,C,0.12400350765306123
5,I,H,D,0.13058035714285715
5,I,H,E,0.14616549744897958
5,I,H,F,0.11248405612244898
5,I,H,G,0.12966358418367346
5,I,H,H,0.11826371173469388
5,I,H,I,0.10028698979591837
5,I,M,A,0.06625880180076187
5,I,M,B,0.06568163453768902
5,I,M,C,0.13101696871753435
5,I,M,D,0.1336719381276694
5,I,M,E,0.15560429412443727
5,I,M,F,0.10469814152141291
5,I,M,G,0.09604063257532033
5,I,M,H,0.1354034399168879
5,I,M,I,0.11162414867828696
5,I,L,A,0.060382422006038244
5,I,L,B,0.08632449960863245
5,I,L,C,0.11092474561109247
5,I,L,D,0.10969473331096947
5,I,L,E,0.14066867941406686
5,I,L,F,0.09627641730962765
5,I,L,G,0.1237839651123784
5,I,L,H,0.16314435871631444
5,I,L,I,0.10880017891088002
6,R,R,A,0.14410989315942832
6,R,R,B,0.10470376023310671
6,R,R,C,0.13811572082697376
6,R,R,D,0.08794227834050229
6,R,R,E,0.0997086166227279
6,R,R,F,0.13517413625641736
6,R,R,G,0.10320521714999306
6,R,R,H,0.09904259747467739
6,R,R,I,0.08799777993617316
6,C,H,A,0.10065261044176707
6,C,H,B,0.0774347389558233
6,C,H,C,0.19540662650602408
6,C,H,D,0.08998493975903614
6,C,H,E,0.08295682730923695
6,C,H,F,0.15988955823293172
6,C,H,G,0.14846887550200802
6,C,H,H,0.07354417670682731
6,C,H,I,0.07166164658634538
6,C,M,A,0.1104074560879436
6,C,M,B,0.07300752778109691
6,C,M,C,0.18078623491456566
6,C,M,D,0.08173019476639981
6,C,M,E,0.12008603178396463
6,C,M,F,0.14398374955191778
6,C,M,G,0.09367905365037639
6,C,M,H,0.10048990321424305
6,C,M,I,0.09582984824949217
6,C,L,A,0.098184607517259
6,C,L,B,0.06025739367595671
6,C,L,C,0.16837126054717463
6,C,L,D,0.09626693940168755
6,C,L,E,0.10559959089746868
6,C,L,F,0.1760419330094605
6,C,L,G,0.11463393846416091
6,C,L,H,0.08919287479757948
6,C,L,I,0.09145146168925254
6,I,H,A,0.09744703520059009
6,I,H,B,0.061754702290701964
6,I,H,C,0.17346227922796378
6,I,H,D,0.09007089292300127
6,I,H,E,0.10945375568577634
6,I,H,F,0.1655534155636602
6,I,H,G,0.12834487563004549
6,I,H,H,0.08732532885300988
6,I,H,I,0.086587714625251
6,I,M,A,0.1118357746177697
6,I,M,B,0.06832032502940233
6,I,M,C,0.1708542713567839
6,I,M,D,0.07804982358601519
6,I,M,E,0.14016892975515877
6,I,M,F,0.13974125948893404
6,I,M,G,0.0916283545386507
6,I,M,H,0.11376029081578103
6,I,M,I,0.08564097081150433
6,I,L,A,0.1056508471009155
6,I,L,B,0.05219404398610965
6,I,L,C,0.18057455540355677
6,I,L,D,0.08955066821003893
6,I,L,E,0.13890350415658212
6,I,L,F,0.15784489108702515
6,I,L,G,0.1027044091339577
6,I,L,H,0.09197095654003999
6,I,L,I,0.08060612438177418
7,R,R,A,0.1076581576026637
7,R,R,B,0.09370540669097828
7,R,R,C,0.09851487764917288
7,R,R,D,0.11703926853760373
7,R,R,E,0.10625759737857407
7,R,R,F,0.1571005760794884
7,R,R,G,0.09595158818244279
7,R,R,H,0.12864013529940277
7,R,R,I,0.09513239257967337
7,C,H,A,0.051175656984785614
7,C,H,B,0.031183201307682637
7,C,H,C,0.14849742235634353
7,C,H,D,0.1598139067018735
7,C,H,E,0.09279517163334591
7,C,H,F,0.1980384760467748
7,C,H,G,0.10046523324531623
7,C,H,H,0.12246950836162454
7,C,H,I,0.09556142336225323
7,C,M,A,0.06683895219076706
7,C,M,B,0.05415247268882885
7,C,M,C,0.13532244802067425
7,C,M,D,0.12016915306002585
7,C,M,E,0.1268647950193821
7,C,M,F,0.15329496064842008
7,C,M,G,0.09044990015270762
7,C,M,H,0.13649712204863151
7,C,M,I,0.11641019617056267
7,C,L,A,0.05532832936311744
7,C,L,B,0.04845161580295743
7,C,L,C,0.1423434761112859
7,C,L,D,0.14238842195154838
7,C,L,E,0.1230167647984179
7,C,L,F,0.1583441952447301
7,C,L,G,0.09933030698008899
7,C,L,H,0.12355611488156772
7,C,L,I,0.10724077486628612
7,I,H,A,0.048073973443183315
7,I,H,B,0.03501468074849906
7,I,H,C,0.13059292694684255
7,I,H,D,0.19435558087558613
7,I,H,E,0.08747096717647575
7,I,H,F,0.18493360795828037
7,I,H,G,0.10114378368903107
7,I,H,H,0.12296770235330207
7,I,H,I,0.09544677680879969
7,I,M,A,0.05700658641835112
7,I,M,B,0.04054054054054054
7,I,M,C,0.1234385646150352
7,I,M,D,0.1569384510560981
7,I,M,E,0.08993867817397229
7,I,M,F,0.1736316148080854
7,I,M,G,0.10935725641607995
7,I,M,H,0.14297070179423121
7,I,M,I,0.10617760617760617
7,I,L,A,0.04920034183860335
7,I,L,B,0.043096081064583076
7,I,L,C,0.12928824319374924
7,I,L,D,0.1720180686118911
7,I,L,E,0.09571480893663778
7,I,L,F,0.16615797826883164
7,I,L,G,0.11085337565620804
7,I,L,H,0.12879990233182761
7,I,L,I,0.10487120009766818
8,R,R,A,0.12321458815559194
8,R,R,B,0.1007734432337831
8,R,R,C,0.11209281318805397
8,R,R,D,0.11426635804211596
8,R,R,E,0.11429458589736352
8,R,R,F,0.10396319087675718
8,R,R,G,0.10105572178625868
8,R,R,H,0.10387850731101451
8,R,R,I,0.12646079150906114
8,C,H,A,0.08577194752774975
8,C,H,B,0.09788092835519677
8,C,H,C,0.11312927458235228
8,C,H,D,0.14228052472250252
8,C,H,E,0.11996860634600291
8,C,H,F,0.11795044287476174
8,C,H,G,0.09362036102702097
8,C,H,H,0.11021414956833726
8,C,H,I,0.11918376499607579
8,C,M,A,0.10467654831667242
8,C,M,B,0.08227048144318051
8,C,M,C,0.13121911984373205
8,C,M,D,0.11329426634493853
8,C,M,E,0.10444674250258532
8,C,M,F,0.11869470297598529
8,C,M,G,0.10318281052510629
8,C,M,H,0.11030679076180627
8,C,M,I,0.13190853728599333
8,C,L,A,0.11076238528465297
8,C,L,B,0.09002423423781336
8,C,L,C,0.11584760239958683
8,C,L,D,0.12144928687775615
8,C,L,E,0.10897461364268404
8,C,L,F,0.11362281991180327
8,C,L,G,0.09983711413928728
8,C,L,H,0.10961026578205077
8,C,L,I,0.12987167772436534
8,I,H,A,0.0953074123731086
8,I,H,B,0.0799080635893507
8,I,H,C,0.12307986975675159
8,I,H,D,0.11476728596054396
8,I,H,E,0.1265657919938709
8,I,H,F,0.12330971078337483
8,I,H,G,0.08542424822830876
8,I,H,H,0.12503351848304922
8,I,H,I,0.12660409883164145
8,I,M,A,0.10770822555613037
8,I,M,B,0.08608380755302639
8,I,M,C,0.11081220900155199
8,I,M,D,0.13595447490946716
8,I,M,E,0.1099844800827729
8,I,M,F,0.1347128815312985
8,I,M,G,0.10232798758406622
8,I,M,H,0.10098292809105018
8,I,M,I,0.11143300569063631
8,I,L,A,0.12369097016399921
8,I,L,B,0.09237304880458408
8,I,L,C,0.1284331159849832
8,I,L,D,0.11203319502074689
8,I,L,E,0.1337680300335902
8,I,L,F,0.12023315550286505
8,I,L,G,0.08140683659355859
8,I,L,H,0.09523809523809523
8,I,L,I,0.11282355265757756
9,R,R,A,0.1104775481111903
9,R,R,B,0.13408410548823949
9,R,R,C,0.09402708481824662
9,R,R,D,0.11064861012116893
9,R,R,E,0.10939415538132573
9,R,R,F,0.09799002138275124
9,R,R,G,0.10526015680684248
9,R,R,H,0.12216678545972916
9,R,R,I,0.11595153243050606
9,C,H,A,0.08627630375114365
9,C,H,B,0.1161939615736505
9,C,H,C,0.10649588289112534
9,C,H,D,0.11628545288197621
9,C,H,E,0.1172003659652333
9,C,H,F,0.11271729185727355
9,C,H,G,0.10265324794144556
9,C,H,H,0.13815187557182068
9,C,H,I,0.1040256175663312
9,C,M,A,0.08051498847040738
9,C,M,B,0.09934665641813989
9,C,M,C,0.10511145272867026
9,C,M,D,0.14882782475019216
9,C,M,E,0.12240584166026133
9,C,M,F,0.10165257494235204
9,C,M,G,0.11702536510376634
9,C,M,H,0.11587240584166027
9,C,M,I,0.10924289008455035
9,C,L,A,0.09160593977725835
9,C,L,B,0.11381135707410972
9,C,L,C,0.09487144232091296
9,C,L,D,0.1340230991337825
9,C,L,E,0.11999862505156057
9,C,L,F,0.09799945002062423
9,C,L,G,0.1004056097896329
9,C,L,H,0.13426371511068336
9,C,L,I,0.11302076172143545
9,I,H,A,0.0903364525604918
9,I,H,B,0.10505435934708215
9,I,H,C,0.0929711395778444
9,I,H,D,0.1397898307137882
9,I,H,E,0.11940886102783077
9,I,H,F,0.10151115956512523
9,I,H,G,0.10029980921231943
9,I,H,H,0.12873625874443537
9,I,H,I,0.12189212925108264
9,I,M,A,0.08183525623826134
9,I,M,B,0.10052768088721939
9,I,M,C,0.09739737053930775
9,I,M,D,0.14640908684375278
9,I,M,E,0.12709060012521242
9,I,M,F,0.09274662373669618
9,I,M,G,0.08729093998747876
9,I,M,H,0.1285215991414006
9,I,M,I,0.13818084250067078
9,I,L,A,0.10365365810294248
9,I,L,B,0.10720952973597653
9,I,L,C,0.0936083207396213
9,I,L,D,0.10880967197084185
9,I,L,E,0.12214419059471954
9,I,L,F,0.10374255489376834
9,I,L,G,0.09316383678549205
9,I,L,H,0.12738910125344474
9,I,L,I,0.14027913592319316
10,R,R,A,0.09177970542003842
10,R,R,B,0.10636316003958782
10,R,R,C,0.12700122256505791
10,R,R,D,0.12871863538452583
10,R,R,E,0.09821272632007917
10,R,R,F,0.12737963555917797
10,R,R,G,0.12406124468766373
10,R,R,H,0.11102055073644991
10,R,R,I,0.08546311928741922
10,C,H,A,0.12784925539459022
10,C,H,B,0.0887448080235032
10,C,H,C,0.14912369567419714
10,C,H,D,0.1006990173234728
10,C,H,E,0.08823827373113159
10,C,H,F,0.136359031506433
10,C,H,G,0.10242123391753621
10,C,H,H,0.10262384763448486
10,C,H,I,0.10394083679465099
10,C,M,A,0.12337116435477091
10,C,M,B,0.0985708280790248
10,C,M,C,0.13240857503152584
10,C,M,D,0.11948297604035309
10,C,M,E,0.08406893652795293
10,C,M,F,0.15458175704077343
10,C,M,G,0.08932324506094998
10,C,M,H,0.10508617065994115
10,C,M,I,0.09310634720470785
10,C,L,A,0.1399028182701652
10,C,L,B,0.09593780369290573
10,C,L,C,0.13722060252672497
10,C,L,D,0.10954324586977648
10,C,L,E,0.09792031098153547
10,C,L,F,0.13986394557823129
10,C,L,G,0.07782312925170068
10,C,L,H,0.10425655976676385
10,C,L,I,0.09753158406219631
10,I,H,A,0.1588440183467255
10,I,H,B,0.09683760389005759
10,I,H,C,0.13691071490154155
10,I,H,D,0.11014932579232334
10,I,H,E,0.09425112942718213
10,I,H,F,0.12356450667310412
10,I,H,G,0.08093940752491637
10,I,H,H,0.10370038279822051
10,I,H,I,0.09480291064592888
10,I,M,A,0.14472031687759637
10,I,M,B,0.09515988793353299
10,I,M,C,0.12076127910346826
10,I,M,D,0.10868515119312144
10,I,M,E,0.10066660226065115
10,I,M,F,0.11873248961452999
10,I,M,G,0.08810742923389045
10,I,M,H,0.10829871509999034
10,I,M,I,0.11486812868321901
10,I,L,A,0.14674928690862596
10,I,L,B,0.11114389692141241
10,I,L,C,0.1309137405330973
10,I,L,D,0.10740631454706404
10,I,L,E,0.09511163568407593
10,I,L,F,0.10996360775056556
10,I,L,G,0.08566932231730107
10,I,L,H,0.12029113799547556
10,I,L,I,0.09275105734238222
11,R,R,A,0.09041388371838388
11,R,R,B,0.06881638015985984
11,R,R,C,0.13423847585678308
11,R,R,D,0.14860943830066792
11,R,R,E,0.11948428774772801
11,R,R,F,0.09375342165772474
11,R,R,G,0.12055184495784518
11,R,R,H,0.0669549983576043
11,R,R,I,0.15717726924340306
11,C,H,A,0.06241651487553127
11,C,H,B,0.04225865209471767
11,C,H,C,0.16308439587128112
11,C,H,D,0.1533697632058288
11,C,H,E,0.10819672131147541
11,C,H,F,0.0965391621129326
11,C,H,G,0.21226472374013358
11,C,H,H,0.05950212507589557
11,C,H,I,0.10236794171220401
11,C,M,A,0.06433129313712722
11,C,M,B,0.04688110431045709
11,C,M,C,0.12814168511524937
11,C,M,D,0.16147935929157442
11,C,M,E,0.13126709206927986
11,C,M,F,0.10548248469852846
11,C,M,G,0.18622216434431565
11,C,M,H,0.04870425836697487
11,C,M,I,0.12749055866649303
11,C,L,A,0.05725526304775457
11,C,L,B,0.04633156154522245
11,C,L,C,0.18281505043318128
11,C,L,D,0.14556564684217135
11,C,L,E,0.1283221027079061
11,C,L,F,0.09860628636002176
11,C,L,G,0.1621813920395095
11,C,L,H,0.05453480098773699
11,C,L,I,0.12438789603649604
11,I,H,A,0.052171208645958866
11,I,H,B,0.04097500291567858
11,I,H,C,0.171286397387552
11,I,H,D,0.1677098316681569
11,I,H,E,0.11713252731018932
11,I,H,F,0.09882206585546009
11,I,H,G,0.16634918166621313
11,I,H,H,0.048478015783540024
11,I,H,I,0.1370757687672511
11,I,M,A,0.04399401128642175
11,I,M,B,0.033744097662098356
11,I,M,C,0.1462628123920304
11,I,M,D,0.17528503973281123
11,I,M,E,0.1112518714729932
11,I,M,F,0.10054128757341932
11,I,M,G,0.1885293101462628
11,I,M,H,0.04341817344235863
11,I,M,I,0.15697339629160428
11,I,L,A,0.05009537195060737
11,I,L,B,0.048991065154100996
11,I,L,C,0.1848208011243851
11,I,L,D,0.13884148177893785
11,I,L,E,0.14275675133018773
11,I,L,F,0.10450757956028511
11,I,L,G,0.13321955626945087
11,I,L,H,0.05621925509486999
11,I,L,I,0.14054813773717498
12,R,R,A,0.10420512228887864
12,R,R,B,0.08917858790955238
12,R,R,C,0.1425646054453161
12,R,R,D,0.11161744347023535
12,R,R,E,0.114386248269497
12,R,R,F,0.12471158283341024
12,R,R,G,0.11510729118597139
12,R,R,H,0.09757152745731426
12,R,R,I,0.10065759113982464
12,C,H,A,0.06859096852056723
12,C,H,B,0.06386402494217037
12,C,H,C,0.21060042240772403
12,C,H,D,0.09373428542693352
12,C,H,E,0.17268430051292366
12,C,H,F,0.09685205672332294
12,C,H,G,0.11515639143115759
12,C,H,H,0.07291561902846223
12,C,H,I,0.10560193100673841
12,C,M,A,0.05946167229556852
12,C,M,B,0.07051478866032136
12,C,M,C,0.197113908504759
12,C,M,D,0.0907788353290349
12,C,M,E,0.18350220038890594
12,C,M,F,0.08832258724797871
12,C,M,G,0.12045849964179715
12,C,M,H,0.09517961314092724
12,C,M,I,0.0946678947907072
12,C,L,A,0.07557207404168488
12,C,L,B,0.06533304183063693
12,C,L,C,0.234914735461303
12,C,L,D,0.09094884127678181
12,C,L,E,0.13922897536802215
12,C,L,F,0.11383180294417723
12,C,L,G,0.11277510566972744
12,C,L,H,0.07068940387698586
12,C,L,I,0.09670601953068066
12,I,H,A,0.0913951545530493
12,I,H,B,0.07756056808688387
12,I,H,C,0.2219548872180451
12,I,H,D,0.08761904761904762
12,I,H,E,0.15605680868838764
12,I,H,F,0.08925647451963241
12,I,H,G,0.10837092731829574
12,I,H,H,0.07659147869674185
12,I,H,I,0.09119465329991645
12,I,M,A,0.07362964385139675
12,I,M,B,0.08716521071325718
12,I,M,C,0.17490640299510415
12,I,M,D,0.09772487280407027
12,I,M,E,0.16194681770183353
12,I,M,F,0.09906882979744648
12,I,M,G,0.12124412018815398
12,I,M,H,0.08812517999424019
12,I,M,I,0.09618892195449745
12,I,L,A,0.09191636959244628
12,I,L,B,0.06513151556026592
12,I,L,C,0.2102321996338761
12,I,L,D,0.08083630407553714
12,I,L,E,0.14172849022063783
12,I,L,F,0.11224588110607958
12,I,L,G,0.11600346854224877
12,I,L,H,0.08517198188650159
12,I,L,I,0.09673378938240679
13,R,R,A,0.10702816772180934
13,R,R,B,0.08477842003853564
13,R,R,C,0.09262317643820533
13,R,R,D,0.11629507294247178
13,R,R,E,0.10441324892191944
13,R,R,F,0.14210019267822735
13,R,R,G,0.08372327736489586
13,R,R,H,0.16847875951922195
13,R,R,I,0.10055968437471327
13,C,H,A,0.11718208292885869
13,C,H,B,0.058937734017473306
13,C,H,C,0.14672028844820414
13,C,H,D,0.08168076549715712
13,C,H,E,0.10955484676189156
13,C,H,F,0.18596588545278048
13,C,H,G,0.07433088337262515
13,C,H,H,0.1433920399389821
13,C,H,I,0.08223547358202746
13,C,M,A,0.10943503628860111
13,C,M,B,0.04966557563682937
13,C,M,C,0.1717660452540202
13,C,M,D,0.08253877899530383
13,C,M,E,0.14415824676248754
13,C,M,F,0.18613917745837483
13,C,M,G,0.06603102319624306
13,C,M,H,0.10872349509036573
13,C,M,I,0.0815426213177743
13,C,L,A,0.11492117682498243
13,C,L,B,0.057736720554272515
13,C,L,C,0.15865046691434884
13,C,L,D,0.08590219901596546
13,C,L,E,0.13545536700471936
13,C,L,F,0.15975499548147404
13,C,L,G,0.07239682699066172
13,C,L,H,0.1258660508083141
13,C,L,I,0.08931619640526157
13,I,H,A,0.11989164448180842
13,I,H,B,0.06538695063285227
13,I,H,C,0.1555275325767129
13,I,H,D,0.06907664284713465
13,I,H,E,0.15431320349353136
13,I,H,F,0.1505301013497735
13,I,H,G,0.06449955630283499
13,I,H,H,0.13455700340946242
13,I,H,I,0.0862173649058895
13,I,M,A,0.12862241256245538
13,I,M,B,0.06581013561741614
13,I,M,C,0.14746609564596716
13,I,M,D,0.06895074946466809
13,I,M,E,0.14246966452533905
13,I,M,F,0.14875089221984297
13,I,M,G,0.05624553890078515
13,I,M,H,0.1444682369735903
13,I,M,I,0.09721627408993576
13,I,L,A,0.12309019221291277
13,I,L,B,0.05051749630359783
13,I,L,C,0.11002957121734845
13,I,L,D,0.08969935929029078
13,I,L,E,0.13997042878265156
13,I,L,F,0.16547560374568754
13,I,L,G,0.05655495317890587
13,I,L,H,0.15795958600295712
13,I,L,I,0.1067028092656481
14,R,R,A,0.13218583396801217
14,R,R,B,0.08926123381568926
