subj,task,0,1,2,3,4,5,6,7
100206,REST1,0.19916666666666666,0.13083333333333333,0.08083333333333333,0.1475,0.08416666666666667,0.21166666666666667,0.06833333333333333,0.0775
100206,REST2,0.17916666666666667,0.1225,0.0975,0.1775,0.08333333333333333,0.14833333333333334,0.10333333333333333,0.08833333333333333
100206,EMOTION,0.017045454545454544,0.19318181818181818,0.07954545454545454,0.005681818181818182,0.2727272727272727,0.1590909090909091,0.26704545454545453,0.005681818181818182
100206,GAMBLING,0.18972332015810275,0.08695652173913043,0.003952569169960474,0.11462450592885376,0.16205533596837945,0.17391304347826086,0.17786561264822134,0.09090909090909091
100206,LANGUAGE,0.17405063291139242,0.11392405063291139,0.0379746835443038,0.29430379746835444,0.006329113924050633,0.14873417721518986,0.006329113924050633,0.21835443037974683
100206,MOTOR,0.0528169014084507,0.3028169014084507,0.045774647887323945,0.13732394366197184,0.03169014084507042,0.27816901408450706,0.0035211267605633804,0.14788732394366197
100206,RELATIONAL,0.08620689655172414,0.03879310344827586,0.125,0.33189655172413796,0.03017241379310345,0.30603448275862066,0.08189655172413793,
100206,SOCIAL,0.18248175182481752,0.10948905109489052,0.07664233576642336,0.08029197080291971,0.12043795620437957,0.22262773722627738,0.10218978102189781,0.10583941605839416
100206,WM,0.17037037037037037,0.18518518518518517,0.009876543209876543,0.10864197530864197,0.11604938271604938,0.22962962962962963,0.08641975308641975,0.09382716049382717
100408,REST1,0.1125,0.15666666666666668,0.14416666666666667,0.12666666666666668,0.12416666666666666,0.10916666666666666,0.10333333333333333,0.12333333333333334
100408,REST2,0.18166666666666667,0.1525,0.09,0.13166666666666665,0.0775,0.20166666666666666,0.09416666666666666,0.07083333333333333
100408,EMOTION,0.022727272727272728,0.35795454545454547,0.03977272727272727,0.03977272727272727,0.045454545454545456,0.32954545454545453,0.056818181818181816,0.10795454545454546
100408,GAMBLING,0.1225296442687747,0.11462450592885376,0.08695652173913043,0.1383399209486166,0.1422924901185771,0.11857707509881422,0.09881422924901186,0.17786561264822134
100408,LANGUAGE,0.02531645569620253,0.0981012658227848,0.06962025316455696,0.2911392405063291,0.0981012658227848,0.04746835443037975,0.08227848101265822,0.2879746835443038
100408,MOTOR,0.10915492957746478,0.15492957746478872,0.05985915492957746,0.2147887323943662,0.05985915492957746,0.176056338028169,0.02464788732394366,0.2007042253521127
100408,RELATIONAL,0.008620689655172414,0.125,0.04741379310344827,0.07758620689655173,0.27155172413793105,0.09051724137931035,0.2413793103448276,0.13793103448275862
100408,SOCIAL,0.0948905109489051,0.10948905109489052,0.01824817518248175,0.0948905109489051,0.23357664233576642,0.1386861313868613,0.22627737226277372,0.08394160583941605
100408,WM,0.04197530864197531,0.14074074074074075,0.0962962962962963,0.09876543209876543,0.1925925925925926,0.08641975308641975,0.1925925925925926,0.1506172839506173
101006,REST1,0.11166666666666666,0.17166666666666666,0.09166666666666666,0.14166666666666666,0.12333333333333334,0.15333333333333332,0.08,0.12666666666666668
101006,REST2,0.09833333333333333,0.205,0.12333333333333334,0.1125,0.10583333333333333,0.1825,0.07416666666666667,0.09833333333333333
101006,EMOTION,0.0625,0.25,0.06818181818181818,0.045454545454545456,0.14772727272727273,0.22727272727272727,0.13068181818181818,0.06818181818181818
101006,GAMBLING,0.07905138339920949,0.06719367588932806,0.06324110671936758,0.15810276679841898,0.19367588932806323,0.05138339920948617,0.17786561264822134,0.20948616600790515
101006,LANGUAGE,0.22151898734177214,0.12341772151898735,0.0981012658227848,0.2848101265822785,0.03481012658227848,0.10126582278481013,0.015822784810126583,0.12025316455696203
